time, topLDR, middleLDR, bottomLDR, topSolenoid, middleSolenoid, bottomSolenoid
1392243231025,351,413,388,false,false,false
1392243231025,351,413,388,false,false,false
1392243231025,351,413,389,false,false,false
1392243231076,351,413,389,false,false,false
1392243231076,351,413,389,false,false,false
1392243231076,351,413,388,false,false,false
1392243231126,351,413,388,false,false,false
1392243231126,351,413,388,false,false,false
1392243231126,351,413,388,false,false,false
1392243231176,351,413,388,false,false,false
1392243231176,351,413,388,false,false,false
1392243231176,351,413,389,false,false,false
1392243231226,353,413,389,false,false,false
1392243231226,353,413,389,false,false,false
1392243231227,353,413,388,false,false,false
1392243231277,351,413,388,false,false,false
1392243231277,351,414,388,false,false,false
1392243231277,351,414,388,false,false,false
1392243231328,354,414,388,false,false,false
1392243231328,354,413,388,false,false,false
1392243231328,354,413,389,false,false,false
1392243231378,351,413,389,false,false,false
1392243231378,351,413,389,false,false,false
1392243231378,351,413,388,false,false,false
1392243231429,351,413,388,false,false,false
1392243231429,351,413,388,false,false,false
1392243231429,351,413,389,false,false,false
1392243231479,351,413,389,false,false,false
1392243231479,351,413,389,false,false,false
1392243231479,351,413,388,false,false,false
1392243231529,352,413,388,false,false,false
1392243231530,352,414,388,false,false,false
1392243231530,352,414,388,false,false,false
1392243231580,351,414,388,false,false,false
1392243231580,351,413,388,false,false,false
1392243231581,351,413,389,false,false,false
1392243231631,351,413,389,false,false,false
1392243231631,351,413,389,false,false,false
1392243231631,351,413,388,false,false,false
1392243231681,353,413,388,false,false,false
1392243231681,353,413,388,false,false,false
1392243231681,353,413,389,false,false,false
1392243231732,351,413,389,false,false,false
1392243231732,351,413,389,false,false,false
1392243231732,351,413,388,false,false,false
1392243231782,351,413,388,false,false,false
1392243231782,351,413,388,false,false,false
1392243231782,351,413,388,false,false,false
1392243231832,351,413,388,false,false,false
1392243231832,351,413,388,false,false,false
1392243231832,351,413,389,false,false,false
1392243231882,351,413,389,false,false,false
1392243231882,351,413,389,false,false,false
1392243231882,351,413,388,false,false,false
1392243231932,351,413,388,false,false,false
1392243231932,351,414,388,false,false,false
1392243231932,351,414,387,false,false,false
1392243231982,350,414,387,false,false,false
1392243231982,350,413,387,false,false,false
1392243231982,350,413,389,false,false,false
1392243232032,351,413,389,false,false,false
1392243232032,351,413,389,false,false,false
1392243232032,351,413,388,false,false,false
1392243232082,351,413,388,false,false,false
1392243232082,351,413,388,false,false,false
1392243232082,351,413,389,false,false,false
1392243232133,351,413,389,false,false,false
1392243232133,351,413,389,false,false,false
1392243232133,351,413,388,false,false,false
1392243232183,351,413,388,false,false,false
1392243232183,351,413,388,false,false,false
1392243232183,351,413,388,false,false,false
1392243232233,351,413,388,false,false,false
1392243232233,351,413,388,false,false,false
1392243232234,351,413,389,false,false,false
1392243232284,351,413,389,false,false,false
1392243232284,351,413,389,false,false,false
1392243232285,351,413,388,false,false,false
1392243232335,351,413,388,false,false,false
1392243232335,351,414,388,false,false,false
1392243232335,351,414,388,false,false,false
1392243232386,351,414,388,false,false,false
1392243232386,351,412,388,false,false,false
1392243232386,351,412,388,false,false,false
1392243232436,351,412,388,false,false,false
1392243232436,351,413,388,false,false,false
1392243232437,351,413,388,false,false,false
1392243232488,351,413,388,false,false,false
1392243232488,351,416,388,false,false,false
1392243232488,351,416,388,false,false,false
1392243232539,351,416,388,false,false,false
1392243232539,351,413,388,false,false,false
1392243232539,351,413,388,false,false,false
1392243232589,351,413,388,false,false,false
1392243232589,351,413,388,false,false,false
1392243232589,351,413,388,false,false,false
1392243232639,351,413,388,false,false,false
1392243232639,351,413,388,false,false,false
1392243232639,351,413,389,false,false,false
1392243232689,353,413,389,false,false,false
1392243232689,353,413,389,false,false,false
1392243232689,353,413,388,false,false,false
1392243232739,351,413,388,false,false,false
1392243232739,351,413,388,false,false,false
1392243232739,351,413,388,false,false,false
1392243232789,351,413,388,false,false,false
1392243232789,351,413,388,false,false,false
1392243232789,351,413,389,false,false,false
1392243232839,351,413,389,false,false,false
1392243232840,351,415,389,false,false,false
1392243232840,351,415,390,false,false,false
1392243232890,351,415,390,false,false,false
1392243232890,351,414,390,false,false,false
1392243232890,351,414,388,false,false,false
1392243232941,351,414,388,false,false,false
1392243232941,351,413,388,false,false,false
1392243232941,351,413,388,false,false,false
1392243232992,351,413,388,false,false,false
1392243232992,351,413,388,false,false,false
1392243232992,351,413,388,false,false,false
1392243233043,351,413,388,false,false,false
1392243233043,351,413,388,false,false,false
1392243233043,351,413,389,false,false,false
1392243233094,350,413,389,false,false,false
1392243233094,350,415,389,false,false,false
1392243233094,350,415,388,false,false,false
1392243233145,351,415,388,false,false,false
1392243233145,351,413,388,false,false,false
1392243233145,351,413,388,false,false,false
1392243233195,349,413,388,false,false,false
1392243233195,349,413,388,false,false,false
1392243233195,349,413,389,false,false,false
1392243233245,351,413,389,false,false,false
1392243233245,351,413,389,false,false,false
1392243233245,351,413,388,false,false,false
1392243233296,351,413,388,false,false,false
1392243233296,351,413,388,false,false,false
1392243233296,351,413,388,false,false,false
1392243233347,351,413,388,false,false,false
1392243233347,351,413,388,false,false,false
1392243233347,351,413,388,false,false,false
1392243233397,351,413,388,false,false,false
1392243233397,351,413,388,false,false,false
1392243233397,351,413,388,false,false,false
1392243233447,351,413,388,false,false,false
1392243233447,351,413,388,false,false,false
1392243233447,351,413,389,false,false,false
1392243233498,351,413,389,false,false,false
1392243233498,351,413,389,false,false,false
1392243233499,351,413,388,false,false,false
1392243233549,351,413,388,false,false,false
1392243233550,351,416,388,false,false,false
1392243233550,351,416,387,false,false,false
1392243233601,351,416,387,false,false,false
1392243233602,351,413,387,false,false,false
1392243233602,351,413,388,false,false,false
1392243233652,351,413,388,false,false,false
1392243233652,351,413,388,false,false,false
1392243233652,351,413,388,false,false,false
1392243233703,351,413,388,false,false,false
1392243233703,351,413,388,false,false,false
1392243233703,351,413,389,false,false,false
1392243233753,351,413,389,false,false,false
1392243233753,351,413,389,false,false,false
1392243233753,351,413,388,false,false,false
1392243233803,351,413,388,false,false,false
1392243233803,351,414,388,false,false,false
1392243233803,351,414,388,false,false,false
1392243233854,351,414,388,false,false,false
1392243233854,351,413,388,false,false,false
1392243233854,351,413,389,false,false,false
1392243233905,352,413,389,false,false,false
1392243233905,352,413,389,false,false,false
1392243233905,352,413,388,false,false,false
1392243233956,351,413,388,false,false,false
1392243233956,351,413,388,false,false,false
1392243233956,351,413,391,false,false,false
1392243234006,351,413,391,false,false,false
1392243234006,351,413,391,false,false,false
1392243234006,351,413,388,false,false,false
1392243234057,351,413,388,false,false,false
1392243234058,351,413,388,false,false,false
1392243234058,351,413,388,false,false,false
1392243234109,351,413,388,false,false,false
1392243234109,351,414,388,false,false,false
1392243234110,351,414,389,false,false,false
1392243234162,351,414,389,false,false,false
1392243234162,351,413,389,false,false,false
1392243234162,351,413,388,false,false,false
1392243234213,351,413,388,false,false,false
1392243234213,351,413,388,false,false,false
1392243234213,351,413,388,false,false,false
1392243234263,351,413,388,false,false,false
1392243234263,351,413,388,false,false,false
1392243234264,351,413,389,false,false,false
1392243234314,351,413,389,false,false,false
1392243234314,351,413,389,false,false,false
1392243234314,351,413,388,false,false,false
1392243234364,351,413,388,false,false,false
1392243234364,351,414,388,false,false,false
1392243234364,351,414,388,false,false,false
1392243234414,351,414,388,false,false,false
1392243234414,351,413,388,false,false,false
1392243234414,351,413,388,false,false,false
1392243234466,351,413,388,false,false,false
1392243234466,351,413,388,false,false,false
1392243234466,351,413,388,false,false,false
1392243234516,351,413,388,false,false,false
1392243234516,351,413,388,false,false,false
1392243234516,351,413,389,false,false,false
1392243234567,351,413,389,false,false,false
1392243234567,351,412,389,false,false,false
1392243234567,351,412,387,false,false,false
1392243234618,351,412,387,false,false,false
1392243234618,351,413,387,false,false,false
1392243234618,351,413,388,false,false,false
1392243234668,351,413,388,false,false,false
1392243234668,351,413,388,false,false,false
1392243234668,351,413,388,false,false,false
